COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 10,HD3010,BARE HARD DRAWN COPPER BAR 30 X 10MM,24
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 10,HDT3010,TINNED HARD DRAWN COPPER BAR 30 X 10MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 12,HD3012,BARE HARD DRAWN COPPER BAR 30 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 12,HDT3012,TINNED HARD DRAWN COPPER BAR 30 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 15,HD3015,BARE HARD DRAWN COPPER BAR 30 X 15MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 15,HDT3015,TINNED HARD DRAWN COPPER BAR 30 X 15MM,
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 3,HD3003,BARE HARD DRAWN COPPER BAR 30 X 3MM,8.01
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 3,HDT3003,TINNED HARD DRAWN COPPER BAR 30 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 5,HD3005,BARE HARD DRAWN COPPER BAR 30 X 5MM,8.38826
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 5,HDT3005,TINNED HARD DRAWN COPPER BAR 30 X 5MM,8.99
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 6,HD3006,BARE HARD DRAWN COPPER BAR 30 X 6MM,12.14869
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 6,HDT3006,TINNED HARD DRAWN COPPER BAR 30 X 6MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,30 x 8,HD3008,BARE HARD DRAWN COPPER BAR 30 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,30 x 8,HDT3008,TINNED HARD DRAWN COPPER BAR 30 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,300 x 10,HD300010,BARE HARD DRAWN COPPER BAR 300 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,300 x 10,HDT30010,TINNED HARD DRAWN COPPER BAR 300 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,300 x 12,HD300012,BARE HARD DRAWN COPPER BAR 300 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,300 x 12,HDT30012,TINNED HARD DRAWN COPPER BAR 300 X 12MM,
